title,link,create_time,title_en
便携式智能化高通量细胞分析仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498853&idx=1&sn=c109b4ebd53e77811053e3b0d4b1e13b&chksm=cfb79b20f8c01236e43d0b9c517595987c1348619fa32278778881deb14d7c54e91ed08ce041#rd,2026/1/4 16:33,Portable intelligent high-throughput cell analyzer
可穿戴式多模态闭环神经调控设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498850&idx=1&sn=549b5ab9f85ca150d24d9a651d4e4428&chksm=cfb79b27f8c01231518d162e72133fc0747203382bc219f68e9f06e502f85050998e7648b500#rd,2025/12/31 17:08,Wearable multimodal closed-loop neuromodulation device
面向老旧光伏电站升级的晶硅/钙钛矿叠层太阳电池技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498848&idx=1&sn=ce073ae53158df447477ad257d82e60d&chksm=cfb79b25f8c01233b8d605b7ca0cf9f110f1a2491c527a929d7ec54d01234eef61147e010670#rd,2025/12/30 16:14,Crystalline silicon/perovskite stacked solar cell technology for upgrading old photovoltaic power plants
高性能、轻量化高能射线-可见光多波段光电成像系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498845&idx=1&sn=9898e3b5ed0e49f6aaf429e3227059f9&chksm=cfb79b18f8c0120ec400a099f50413e1792ac51bfd7cd1c27545894c117a7b5d74acf5d4e020#rd,2025/12/29 17:16,"High-performance, lightweight high-energy ray-visible light multi-band photoelectric imaging system"
中高压SiC大功率器件研制及产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498843&idx=1&sn=b74e551b7c19661778098a7b52c61971&chksm=cfb79b1ef8c01208712c707c78d4bcd26fe935f3886b962601257e60513e19fae3f0ac819d58#rd,2025/12/26 13:54,Development and industrialization of medium and high voltage SiC high power devices
面向新型能源利用的高效稳定钙钛矿光伏和探测器件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498841&idx=1&sn=873058916eb90f9b69341fb8b5f6e335&chksm=cfb79b1cf8c0120aa12623c8fb3a64797dd596cd00ba9381a2c4b9af3af161ce002c279d07a7#rd,2025/12/25 16:30,Efficient and stable perovskite photovoltaic and detection devices for new energy utilization
硅基氮化镓射频功率器件及关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498839&idx=1&sn=4a7cd582b5c01ed0086c654081a2607e&chksm=cfb79b12f8c0120428549d9efa48824e8832ddcf9151d57803f58aa8b602dd1c090181228b76#rd,2025/12/24 16:39,GaN-on-silicon RF power devices and key technologies
单光子固态激光雷达芯片与系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498837&idx=1&sn=4e6ee185a572ac6e6dfdad61ba95a24b&chksm=cfb79b10f8c01206a4a7cf75edf4cf7dd906ba63db183db1a54e963c550d6ebd6a1612b32b78#rd,2025/12/23 16:39,Single-photon solid-state lidar chips and systems
大尺寸GaN异质外延技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498835&idx=1&sn=9b045b5b116508b11aa02a02feb8a981&chksm=cfb79b16f8c01200757698c75e52e98cbcf13cd39a47cc25ec2d931ca0647253b19a6e0980a0#rd,2025/12/22 16:28,Large-size GaN heteroepitaxial technology
面向5G通信基站用氮化镓基射频器件项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498833&idx=1&sn=a91b16ccd3c55240bf5b79e53c5890b8&chksm=cfb79b14f8c012021035a4d8eba588fe0d692069c2697712410c9b6b704f839d68a8d1dfd3f0#rd,2025/12/19 15:56,Gallium nitride-based radio frequency device project for 5G communication base stations
